27777 360 1000 8700 100 1 1000 1200 3
288,842 609,995 903,611 498,227 317,1088 214,519 774,926 839,827 178,414 447,651 399,47 682,777 294,1186 402,175 67,600 774,339 312,597 705,187 696,272 826,162 787,381 764,1172 197,180 203,891 402,435 86,617 773,49 128,34 912,163 601,946 690,882 165,177 315,18 61,811 267,630 227,338 63,1085 734,111 524,950 153,975 832,477 646,834 355,141 79,559 464,48 950,115 793,873 667,337 173,224 30,896 767,151 684,1055 496,173 681,66 721,984 46,1 915,794 269,734 93,809 612,1182 637,539 840,256 497,1183 310,600 112,153 66,852 318,118 333,267 351,708 906,540 858,618 141,716 18,409 542,560 411,26 315,1 695,958 342,258 315,278 220,7 483,174 951,941 809,1138 895,873 182,555 624,500 384,874 433,780 899,217 853,889 124,740 694,129 112,340 408,681 971,815 115,878 847,183 806,362 739,183 196,890 217,1119 451,1165 257,914 780,265 879,1096 921,329 162,770 985,318 977,42 725,283 491,700 867,430 338,581 162,863 581,474 508,184 522,408 867,863 29,210 80,20 743,343 21,1037 97,1176 226,804 337,1019 159,347 394,951 455,1125 656,583 781,1066 596,746 229,990 488,649 466,317 16,410 380,398 628,119 238,541 962,954 655,347 598,424 782,601 216,789 179,730 650,233 516,64 144,606 702,687 478,1163 795,804 419,690 250,1177 373,52 638,1169 347,775 221,1090 973,325 278,987 167,904 195,587 69,780 367,844 522,132 44,850 379,397 380,769 256,511 397,1128 706,1039 755,365 52,369 787,273 478,828 834,891 383,296 613,302 588,436 643,735 269,94 778,280 579,31 228,783 755,1174 104,1111 168,535 244,567 115,354 575,715 207,60 938,1040 646,908 612,1133 469,934 450,30 166,480 85,2 851,223 291,254 933,115 8,651 751,1063 650,599 235,559 887,177 561,571 416,266 697,619 652,1070 920,1198 132,654 141,336 571,348 567,73 407,859 481,81 617,168 582,1059 791,240 232,1167 322,1065 632,1197 915,495 215,215 144,198 169,243 853,743 700,12 41,353 764,939 447,564 242,224 329,913 43,756 943,427 460,358 827,327 118,166 246,388 461,19 240,698 83,932 188,575 35,388 741,576 356,265 407,595 135,158 844,565 675,434 272,1152 748,806 553,535 354,93 315,405 847,1082 455,221 300,1025 191,451 987,184 28,864 637,21 726,639 35,984 117,709 421,10 894,455 467,5 140,395 216,237 520,116 70,559 727,938 858,510 750,1111 580,776 569,1054 949,133 652,1065 898,249 568,86 223,167 434,1080 692,526 443,1093 266,220 682,107 305,757 817,1015 898,95 601,810 820,531 737,77 964,513 222,474 33,932 874,481 17,964 595,740 758,767 750,1072 549,26 562,552 657,388 4,512 311,1044 984,159 602,391 539,1139 167,543 782,640 489,972 818,745 794,356 343,872 800,587 378,255 303,563 152,487 61,521 535,417 969,576 890,1173 777,705 94,272 292,545 285,397 516,477 766,78 940,584 909,130 714,1046 604,374 148,154 293,838 976,636 330,912 403,1109 955,326 684,126 83,967 526,296 912,334 661,1198 617,1070 772,838 420,218 119,892 183,1146 295,5 55,552 589,347 300,1020 381,1019 79,1045 826,494 796,909 773,1068 795,854 178,890 186,281
851,320 786,285 104,359 673,723 619,121 990,963 403,99 640,421 842,236 761,206 543,642 348,726 612,1057 530,41 912,956 325,112 862,1064 589,35 746,494 795,655 974,554 877,733 876,1018 638,840 962,366 316,341 968,719 96,729 575,1173 457,125 497,279 603,560 861,994 11,888 240,772 230,63 548,263 860,204 911,954 651,957 825,381 710,374 482,281 617,616 640,1103 991,1095 757,61 197,65 149,854 929,1156 84,675 147,162 571,449 616,1103 96,872 385,390 797,925 399,712 797,704 298,225 143,738 665,843 190,923 778,1012 104,519 148,909 532,20 673,421 299,277 499,813 929,640 309,42 679,845 213,552 762,215 699,1003 419,242 449,835 477,1182 92,410 867,359 759,511 401,737 519,311 256,461 190,593 866,796 323,481 414,423 812,174 44,278 414,1104 505,182 411,611 639,572 890,126 545,469 981,410 293,1083 733,717
268,477 574,313 695,767 250,214 888,1153 583,605 207,35 656,537 146,229 818,568 958,28 457,847 647,726 665,1132 238,1066 532,986 27,346 469,855 629,433 153,406 321,694 151,668 958,1120 21,817 27,1130 998,1179 808,392 9,634 901,1067 532,1148 335,1066 222,950 431,79 622,913 65,316 838,1154 915,409 511,931 290,51 141,909 598,744 996,299 606,637 710,926 533,897 339,4 383,65 375,1049 515,638 218,136 859,272 229,434 257,718 836,1177 186,139 40,1043 470,826 186,641 678,1075 442,1082 745,323 668,712 545,371 556,627 801,609 821,686 465,419 329,953 364,252 557,329 266,907 428,526 949,321 318,689 222,322 218,1027 310,119 204,744 991,664 443,913 496,728 239,160 615,382 155,1153 903,324 341,1165 335,994 86,794 564,487 870,606 468,85 713,831 187,594 998,824 916,370 305,879 413,437 871,536 420,1020 346,424
358,1169 FWXFY FWXFY DCXCO
782,1106 DCXCO NQIQM WPSRL
460,490 WMICJ NQIQM FWXFY
422,203 DCXCO WPSRL WPSRL
746,931 WPSRL DCXCO WMICJ
509,1136 NQIQM NQIQM WMICJ
774,799 FWXFY DCXCO WMICJ
488,642 WMICJ WMICJ WMICJ
205,232 FWXFY WPSRL WMICJ
415,1010 WMICJ FWXFY DCXCO
833,1111 WPSRL DCXCO DCXCO
274,757 DCXCO FWXFY FWXFY
369,474 WMICJ NQIQM WMICJ
564,327 WMICJ FWXFY FWXFY
564,1185 WPSRL WMICJ WMICJ
652,450 FWXFY NQIQM DCXCO
63,19 WPSRL DCXCO WPSRL
383,908 FWXFY FWXFY WPSRL
161,588 FWXFY FWXFY DCXCO
72,713 WPSRL WPSRL FWXFY
342,608 WMICJ NQIQM DCXCO
475,376 WMICJ WMICJ DCXCO
74,280 WPSRL FWXFY WPSRL
335,579 NQIQM FWXFY WPSRL
106,113 NQIQM FWXFY DCXCO
136,1006 WMICJ FWXFY WMICJ
436,983 FWXFY FWXFY NQIQM
177,434 WPSRL FWXFY WPSRL
374,1051 FWXFY DCXCO WPSRL
142,634 WPSRL NQIQM WPSRL
946,799 DCXCO FWXFY WPSRL
779,1056 WMICJ WPSRL NQIQM
627,969 FWXFY WMICJ NQIQM
639,834 WMICJ WMICJ FWXFY
985,762 FWXFY WPSRL NQIQM
630,373 WPSRL WMICJ FWXFY
777,1105 NQIQM NQIQM WMICJ
292,599 WMICJ WMICJ DCXCO
341,884 DCXCO WMICJ NQIQM
277,1178 NQIQM WMICJ DCXCO
277,531 DCXCO WPSRL NQIQM
71,1068 WMICJ FWXFY DCXCO
135,65 NQIQM WMICJ DCXCO
213,1091 FWXFY DCXCO DCXCO
79,374 FWXFY DCXCO FWXFY
127,1139 DCXCO NQIQM NQIQM
779,1079 WPSRL FWXFY WPSRL
505,18 WMICJ NQIQM WMICJ
475,729 FWXFY WMICJ DCXCO
321,550 DCXCO WPSRL FWXFY
84,116 WPSRL FWXFY FWXFY
863,116 NQIQM WPSRL WMICJ
20,887 WMICJ WMICJ DCXCO
211,567 WPSRL DCXCO DCXCO
635,137 NQIQM DCXCO NQIQM
27,464 DCXCO DCXCO DCXCO
474,2 WMICJ FWXFY WPSRL
549,324 WPSRL NQIQM WMICJ
12,227 FWXFY FWXFY WMICJ
150,195 NQIQM WPSRL FWXFY
486,936 DCXCO WPSRL DCXCO
746,355 NQIQM WPSRL FWXFY
455,1029 NQIQM FWXFY FWXFY
59,939 NQIQM NQIQM WPSRL
945,96 DCXCO WMICJ WPSRL
450,946 WMICJ FWXFY DCXCO
371,361 WMICJ WPSRL NQIQM
757,631 WPSRL DCXCO DCXCO
340,937 FWXFY WPSRL NQIQM
772,230 FWXFY WMICJ WPSRL
727,86 WMICJ DCXCO WMICJ
316,852 WPSRL FWXFY WPSRL
655,474 WMICJ DCXCO DCXCO
807,774 FWXFY WPSRL WMICJ
743,690 WMICJ NQIQM WPSRL
879,971 FWXFY NQIQM WMICJ
865,591 FWXFY NQIQM DCXCO
933,840 WPSRL WMICJ NQIQM
272,962 FWXFY WMICJ WPSRL
947,435 NQIQM WMICJ DCXCO
717,101 WPSRL DCXCO DCXCO
737,1122 WPSRL NQIQM DCXCO
290,694 NQIQM FWXFY FWXFY
23,960 WPSRL NQIQM WMICJ
446,349 WPSRL WMICJ DCXCO
452,300 WMICJ FWXFY DCXCO
934,915 WPSRL DCXCO WPSRL
974,511 WMICJ NQIQM DCXCO
272,321 FWXFY DCXCO WPSRL
125,23 WPSRL WPSRL DCXCO
485,458 WPSRL FWXFY NQIQM
872,905 WMICJ NQIQM WMICJ
841,350 DCXCO NQIQM WPSRL
472,792 WMICJ WMICJ FWXFY
544,485 DCXCO WPSRL FWXFY
915,878 DCXCO NQIQM NQIQM
91,258 WPSRL WMICJ FWXFY
668,530 DCXCO WMICJ WMICJ
375,706 WPSRL DCXCO FWXFY
705,714 WPSRL WMICJ WMICJ
231,1189 NQIQM WPSRL WPSRL
606,244 WMICJ WMICJ DCXCO
251,894 WMICJ FWXFY WMICJ
429,544 WMICJ DCXCO NQIQM
273,1106 DCXCO WPSRL FWXFY
624,208 NQIQM NQIQM WPSRL
930,933 WPSRL DCXCO DCXCO
972,932 NQIQM WMICJ WPSRL
610,7 NQIQM WMICJ NQIQM
368,910 NQIQM WMICJ FWXFY
534,986 NQIQM FWXFY NQIQM
40,103 DCXCO NQIQM FWXFY
356,359 WPSRL WPSRL NQIQM
893,190 WMICJ FWXFY WMICJ
598,158 WPSRL WMICJ WPSRL
485,363 WMICJ WPSRL WPSRL
379,1114 FWXFY DCXCO FWXFY
416,871 NQIQM DCXCO DCXCO
